brand,model,screen_size,screen_resolution,cpu,cpu_speed,ram,memory,gpu,graphics_card_description,OpSys,weight,color,No_reviews,ratings,price,link_item
Lenovo,Lenovo Ideapad,15.6 Inches,1920 x 1080 pixels,pentium_other,1.1 GHz,20 GB,512 GB,Intel UHD Graphics,Intel UHD Graphics,Windows 11 S,3.52 pounds,Blue,23 ratings,4.4,$359.99,https://www.amazon.com/Lenovo-IdeaPad-Premium-Processor-Graphics/dp/B0CJ948YH5/ref=sr_1_79
Lenovo,Lenovo Ideapad,14 Inches,1920 x 1080 pixels,core_i3,3 GHz,20 GB,2 TB,Intel UHD Graphics,lenovo ideapd 3 3i 5 5i i3 i5 laptop notebook student laptop,Windows 11 S,3.31 pounds,Platinum Grey,1 rating,5.0,$433.99,https://www.amazon.com/Lenovo-Ideapad-Essential-i3-1115G4-i5-1035G4/dp/B0CDVXTFKT/ref=sr_1_75
Lenovo,L14,14 Inches,1366 x 768 pixels,pentium,1.1 GHz,4 GB,128 GB,Intel UHD Graphics 605,Integrated,Windows 11 S,4.44 pounds,Platinum Grey,79 ratings,4.1,$190.95,https://www.amazon.com/Lenovo-IdeaPad-Pentium-Windows-Included/dp/B0BNLYG895/ref=sr_1_55
Lenovo,Lenovo IdeaPad,14 Inches,1920 x 1080 pixels,core_i3,3 GHz,20 GB,512 GB,Intel UHD Graphics,Integrated,Windows 11 Home,3.74 pounds,Platinum Grey,60 ratings,4.4,$359.00,https://www.amazon.com/Lenovo-IdeaPad-3i-Essential-i3-1115G4/dp/B0BZMJGVNJ/ref=sr_1_73
Lenovo,100e Chromebook,11.6 Inches,1366 x 768 pixels,mediatek_mt8127,2.1 GHz,4 GB,,,Integrated,Chrome OS,2.67 pounds,Black,26 ratings,4.5,$87.54,https://www.amazon.com/Lenovo-Chromebook-81QB000AUS-Computer-Processor/dp/B07Z36FP7L/ref=sr_1_74
Lenovo,Ideapad 3i,15.6 Inches,1920 x 1080 pixels,intel_core_i5_1135g7,4.2 GHz,8 GB,512 GB,Intel Iris,Integrated,Windows 11,3.74 pounds,Gray,,,$479.00,https://www.amazon.com/Lenovo-i5-1135G7-Processor-Graphics-Bluetooth/dp/B0C9SGXHWR/ref=sr_1_72
LENOVO,Lenovo ThinkPad T490,14 Inches,1920 x 1080 pixels,core_i7_8665u,1.9 GHz,16 GB,256 GB,Intel UHD Graphics 620,Integrated,Windows 10 Pro,4.77 pounds,Black,6 ratings,3.9,$299.89,https://www.amazon.com/LENOVO-ThinkPad-Computer-i7-8665U-Fingerprint/dp/B0C89TPWHZ/ref=sr_1_49
Lenovo,IdeaPad,14 Inches,,Pentium,,4 GB,128 GB,,Integrated,Windows 11 Home,,,4 ratings,5.0,$290.67,https://www.amazon.com/Lenovo-1i-Computer-Quad-Core-Processor/dp/B0C4PHRM2F/ref=sr_1_70
Lenovo,Lenovo N23,11.6 Inches,1366 x 768 pixels,celeron,1.6 GHz,4 GB,16 GB,Celron N3060,Integrated,Chrome OS,2 pounds,,63 ratings,4.1,$59.99,https://www.amazon.com/Lenovo-Chromebook-Laptop-Celeron-Renewed/dp/B088SGPWSS/ref=sr_1_69
Lenovo,Lenovo Ideapad,15.6 Inches,1920 x 1080 Pixels,core_i5,2.5 GHz,16 GB,512 GB,,Intel Iris Xe Graphics,Windows 11 Home,3.74 pounds,Blue,2 ratings,5.0,$549.99,https://www.amazon.com/Lenovo-Ideapad-Touchscreen-i5-1155G7-Processor/dp/B0CL92VVN4/ref=sr_1_67
